sample-id	date	location	carbon	timepoint	air_temp
RAS1	3/8/2021	ras	n	0	54
RAS2	4/19/2021	ras	n	42	47
RAS3	5/24/2021	ras	y	77	74
RAS4	6/21/2021	ras	n	105	68
RAS5	7/19/2021	ras	n	133	76
RAS6	8/16/2021	ras	n	161	73
RAS7	9/7/2021	ras	y	183	75
RAS8	10/18/2021	ras	y	224	60
RAS9	11/15/2021	ras	y	252	34
RAS10	12/13/2021	ras	y	280	42
RAS11	1/12/2022	ras	y	310	37
C1	9/7/2021	control	y	183	75
C2	9/13/2021	control	y	189	77
C3	9/21/2021	control	y	197	67
C4	9/27/2021	control	y	203	72
C5	10/4/2021	control	y	210	68
C6	10/11/2021	control	y	217	70
C7	10/18/2021	control	y	224	60
C8	10/26/2021	control	y	232	50
C9	11/1/2021	control	y	238	42
C10	11/8/2021	control	y	245	56
C11	11/15/2021	control	y	252	34
C12	11/22/2021	control	y	259	30
C13	11/29/2021	control	y	266	35
C14	12/6/2021	control	y	273	29
C16	1/12/2022	control	y	310	37
C15	12/13/2021	control	y	280	42
T1	3/8/2021	test	n	0	54
T2	4/19/2021	test	n	42	47
T3	4/26/2021	test	n	49	61
T4	5/3/2021	test	y	56	63
T5	5/13/2021	test	y	66	57
T6	5/17/2021	test	y	70	64
T7	5/24/2021	test	y	77	74
T8	6/1/2021	test	y	85	66
T9	6/7/2021	test	y	91	76
T10	6/14/2021	test	y	98	74
T11	6/21/2021	test	n	105	68
T12	6/28/2021	test	n	112	74
T13	7/6/2021	test	n	120	84
T14	7/12/2021	test	n	126	71
T15	7/19/2021	test	n	133	76
T16	7/26/2021	test	n	140	83
T17	8/2/2021	test	n	147	71
T18	8/9/2021	test	n	154	76
T19	8/16/2021	test	n	161	73
T20	8/23/2021	test	n	168	79
T21	8/30/2021	test	n	175	77
T22	9/7/2021	test	y	183	75
T23	9/13/2021	test	y	189	77
T24	9/21/2021	test	y	197	67
T25	9/27/2021	test	y	203	72
T26	10/4/2021	test	y	210	68
T27	10/11/2021	test	y	217	70
T28	10/18/2021	test	y	224	60
T29	10/26/2021	test	y	232	50
T30	11/1/2021	test	y	238	42
T31	11/8/2021	test	y	245	56
T32	11/15/2021	test	y	252	34
T33	11/22/2021	test	y	259	30
T34	11/29/2021	test	y	266	35
T35	12/13/2021	test	y	280	42
T36	1/12/2022	test	y	310	37
